Document,Strategy,Hit@3,Precision@3,Confidence,Num_Chunks
C.A.17-L_2019,S1_Recursive,0.3333333333333333,0.1111111111111111,0.758397819454283,59
C.A.17-L_2019,S2_Semantic,0.6666666666666666,0.2222222222222222,0.7235501990449743,13
C.A.17-L_2019,S3_Proposed_Hybrid,0.0,0.0,0.783545421546898,37
C.A.8-K_2020,S1_Recursive,1.0,0.7777777777777777,0.7240322780479934,35
C.A.8-K_2020,S2_Semantic,1.0,0.3333333333333333,0.6775764629656651,8
C.A.8-K_2020,S3_Proposed_Hybrid,1.0,0.7777777777777777,0.7203629159463034,20
C.A.11_2022,S1_Recursive,1.0,1.0,0.7245607245169036,47
C.A.11_2022,S2_Semantic,1.0,1.0,0.7215331833497179,11
C.A.11_2022,S3_Proposed_Hybrid,1.0,0.8888888888888888,0.7293555692679355,28
C.A.3-L_2016,S1_Recursive,1.0,0.6666666666666666,0.7574467035813596,28
C.A.3-L_2016,S2_Semantic,1.0,0.7777777777777777,0.6751229073598215,7
C.A.3-L_2016,S3_Proposed_Hybrid,1.0,0.8888888888888888,0.7716272372761465,17
C.A.16_2022,S1_Recursive,1.0,1.0,0.6832986837351842,26
C.A.16_2022,S2_Semantic,0.6666666666666666,0.4444444444444444,0.655122138593058,6
C.A.16_2022,S3_Proposed_Hybrid,1.0,1.0,0.693412111240353,16
C.A.13-K_2020,S1_Recursive,1.0,0.8888888888888888,0.6959035620443066,75
C.A.13-K_2020,S2_Semantic,1.0,0.8888888888888888,0.6360029965856725,15
C.A.13-K_2020,S3_Proposed_Hybrid,0.6666666666666666,0.6666666666666666,0.6822542210887569,44
C.A.8-Q_2017,S1_Recursive,,,,0
C.A.8-Q_2017,S2_Semantic,1.0,0.3333333333333333,0.4114559225925564,1
C.A.8-Q_2017,S3_Proposed_Hybrid,1.0,0.3333333333333333,0.5374958053553995,1
C.A.13-Q_2020,S1_Recursive,1.0,0.7777777777777777,0.6895888142053318,17
C.A.13-Q_2020,S2_Semantic,1.0,0.3333333333333333,0.6795602974614082,4
C.A.13-Q_2020,S3_Proposed_Hybrid,1.0,0.3333333333333333,0.6914509953118818,9
